taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_phylums.report,W133-25PVC-2-17_kraken2_bracken_phylums.report,W132-25PVC-1-17_kraken2_bracken_phylums.report,W131-25PET-3-17_kraken2_bracken_phylums.report,W130-25PET-2-17_kraken2_bracken_phylums.report,W129-25PET-1-17_kraken2_bracken_phylums.report,W128-25PE0.6-3-17_kraken2_bracken_phylums.report,W127-25PE0.6-2-17_kraken2_bracken_phylums.report,W126-25PE0.6-1-17_kraken2_bracken_phylums.report,W125-25S-3-17_kraken2_bracken_phylums.report,W124-25S-2-17_kraken2_bracken_phylums.report,W123-25S-1-17_kraken2_bracken_phylums.report,Q66-25S-3-0_kraken2_bracken_phylums.report,Q65-25S-2-0_kraken2_bracken_phylums.report,Q64-25S-1-0_kraken2_bracken_phylums.report,Q63-25PVC-3-11_kraken2_bracken_phylums.report,Q62-25PVC-2-11_kraken2_bracken_phylums.report,Q61-25PVC-1-11_kraken2_bracken_phylums.report,Q60-25PET-3-11_kraken2_bracken_phylums.report,Q59-25PET-2-11_kraken2_bracken_phylums.report,Q58-25PET-1-11_kraken2_bracken_phylums.report,Q57-25PE0.6-3-11_kraken2_bracken_phylums.report,Q56-25PE0.6-2-11_kraken2_bracken_phylums.report,Q55-25PE0.6-1-11_kraken2_bracken_phylums.report,Q54-25S-3-11_kraken2_bracken_phylums.report,Q53-25S-2-11_kraken2_bracken_phylums.report,Q52-25S-1-11_kraken2_bracken_phylums.report,Q51-25PVC-3-3_kraken2_bracken_phylums.report,Q50-25PVC-2-3_kraken2_bracken_phylums.report,Q49-25PVC-1-3_kraken2_bracken_phylums.report,Q48-25PET-3-3_kraken2_bracken_phylums.report,Q47-25PET-2-3_kraken2_bracken_phylums.report,Q46-25PET-1-3_kraken2_bracken_phylums.report,Q45-25PE0.6-3-3_kraken2_bracken_phylums.report,Q44-25PE0.6-2-3_kraken2_bracken_phylums.report,Q43-25PE0.6-1-3_kraken2_bracken_phylums.report,Q42-25S-3-3_kraken2_bracken_phylums.report,Q41-25S-2-3_kraken2_bracken_phylums.report,Q40-25S-1-3_kraken2_bracken_phylums.report,Q34-25PE0.1-2-11_kraken2_bracken_phylums.report,Q33-25PE0.1-1-11_kraken2_bracken_phylums.report,Q32-25PE0.1-2-3_kraken2_bracken_phylums.report,Q31-25PE0.1-1-3_kraken2_bracken_phylums.report
P,29547,        Campylobacterota,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,32066,        Fusobacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
R3,33154,      Opisthokonta,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K,33208,        Metazoa,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K2,33213,            Bilateria,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K3,33511,              Deuterostomia,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
R4,33634,        Stramenopiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,40117,        Nitrospirota,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,0.05,0.09,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.04
P,57723,        Acidobacteriota,0.24,0.27,0.28,0.25,0.26,0.25,0.31,0.29,0.26,0.4,0.41,0.4,0.34,0.34,0.33,0.16,0.18,0.2,0.18,0.23,0.2,0.21,0.22,0.2,0.27,0.27,0.27,0.05,0.04,0.07,0.13,0.1,0.13,0.15,0.15,0.16,0.21,0.21,0.22,0.28,0.28,0.12,0.17
P,62680,          Fidelibacterota,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,
P,67810,          Candidatus Bipolaricaulota,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,
P,67812,          Candidatus Omnitrophota,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,
P,67818,        Atribacterota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
P,67819,        Armatimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,68297,        Dictyoglomota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
K2,68336,          Bacteroidota/Chlorobiota group,1.67,1.91,2.21,2.52,2.79,2.66,1.43,1.57,2.28,2.49,2.14,2.19,3.15,2.95,2.74,1.39,1.84,1.72,2.58,2.98,3.33,1.51,1.52,1.88,1.52,1.54,1.82,10.55,12.3,10.91,7.07,5.84,4.24,3.02,2.89,2.3,1.96,1.98,1.86,1.49,1.38,4.75,3.98
P,74152,        Elusimicrobiota,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
P,74201,          Verrucomicrobiota,0.03,0.04,0.05,0.05,0.07,0.06,0.07,0.04,0.04,0.05,0.07,0.07,0.14,0.14,0.14,0.02,0.02,0.03,0.05,0.05,0.04,0.03,0.03,0.03,0.05,0.06,0.03,0.03,0.03,0.04,0.09,0.09,0.1,0.08,0.09,0.08,0.08,0.08,0.09,0.03,0.04,0.07,0.07
P,95818,          Candidatus Saccharimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,131567,  cellular organisms,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P,134625,          Kiritimatiellota,,0.01,,0.01,,0.01,0.02,0.02,,0.02,,,0.05,0.06,0.05,,,,0.0,,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
P,142182,          Gemmatimonadota,0.03,0.06,0.05,0.09,0.11,0.11,0.17,0.15,0.1,0.15,0.18,0.17,0.16,0.16,0.16,0.01,0.01,0.01,0.04,0.04,0.03,0.06,0.05,0.04,0.06,0.06,0.05,0.01,0.01,0.02,0.05,0.03,0.05,0.05,0.06,0.05,0.07,0.07,0.08,0.04,0.06,0.03,0.07
P,200783,        Aquificota,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
P,200795,        Chloroflexota,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
P,200918,        Thermotogota,0.0,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0
P,200930,        Deferribacterota,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,
P,200938,        Chrysiogenota,,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,
P,200940,        Thermodesulfobacteriota,0.01,0.02,0.02,0.04,0.07,0.08,0.1,0.07,0.06,0.07,0.1,0.09,0.33,0.39,0.34,0.0,0.0,0.01,0.03,0.02,0.01,0.03,0.03,0.02,0.03,0.04,0.02,0.01,0.01,0.02,0.03,0.02,0.04,0.04,0.05,0.05,0.06,0.06,0.08,0.02,0.03,0.02,0.05
P,201174,        Actinomycetota,7.45,8.94,9.49,6.16,5.46,5.44,7.09,6.0,4.42,6.34,6.72,6.94,12.56,12.37,11.4,7.24,5.96,7.77,4.91,3.92,2.88,3.55,3.18,2.63,3.85,3.79,3.59,13.92,13.1,14.25,6.03,4.09,4.41,4.76,4.44,4.61,5.19,5.06,5.09,4.18,4.53,5.54,6.32
P,203682,          Planctomycetota,0.21,0.26,0.27,0.16,0.2,0.2,0.21,0.21,0.18,0.26,0.28,0.27,0.49,0.49,0.48,0.11,0.11,0.11,0.12,0.15,0.11,0.13,0.13,0.11,0.17,0.18,0.16,0.09,0.08,0.11,0.13,0.11,0.13,0.14,0.14,0.13,0.17,0.17,0.18,0.15,0.15,0.12,0.14
P,203691,        Spirochaetota,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
P,204428,          Chlamydiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,221235,          Candidatus Absconditibacteriota,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,
P,256845,          Lentisphaerota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
P,456828,          Candidatus Cloacimonadota,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
P,508458,        Synergistota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,544448,        Mycoplasmatota,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,651137,        Nitrososphaerota,0.05,0.08,0.08,0.11,0.18,0.16,0.15,0.14,0.1,0.14,0.17,0.16,0.12,0.13,0.14,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.03,0.05,0.02,0.04
P,1134404,            Ignavibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1154676,        Vulcanimicrobiota,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1293497,          Nitrospinota,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,
P,1752724,              Minisyncoccota,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,1783234,        Bacteria candidate phyla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1,1783257,        PVC group,0.24,0.32,0.31,0.22,0.27,0.27,0.3,0.26,0.22,0.33,0.35,0.34,0.69,0.69,0.67,0.13,0.13,0.14,0.18,0.2,0.16,0.17,0.17,0.14,0.22,0.24,0.2,0.13,0.12,0.16,0.23,0.21,0.25,0.22,0.24,0.23,0.27,0.27,0.28,0.19,0.19,0.2,0.22
K1,1783270,        FCB group,1.7,1.96,2.26,2.6,2.9,2.77,1.6,1.71,2.38,2.64,2.32,2.36,3.31,3.11,2.9,1.4,1.85,1.74,2.62,3.02,3.36,1.57,1.57,1.92,1.58,1.61,1.86,10.56,12.31,10.93,7.13,5.87,4.29,3.07,2.95,2.35,2.04,2.05,1.94,1.53,1.44,4.78,4.05
K,1783272,      Bacillati,8.43,9.86,10.44,6.5,5.85,5.83,7.65,6.5,4.95,7.42,7.58,7.91,15.65,15.11,14.29,8.6,7.03,8.57,5.24,4.26,3.19,3.87,3.52,2.93,4.33,4.4,4.03,17.07,15.92,15.88,6.46,4.34,4.77,5.1,4.81,5.07,5.66,5.54,5.59,4.57,4.94,5.89,6.7
R5,1783273,          Patescibacteria group,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,1783275,      Thermoproteati,0.05,0.08,0.08,0.11,0.18,0.16,0.15,0.14,0.1,0.14,0.17,0.16,0.12,0.13,0.14,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.03,0.05,0.02,0.04
R6,1794810,            Microgenomates group,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,1798711,        Cyanobacteriota/Melainabacteria group,0.09,0.08,0.12,0.15,0.2,0.2,0.16,0.19,0.21,0.31,0.28,0.28,0.64,0.67,0.67,0.06,0.06,0.06,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.18,0.06,0.06,0.08,0.12,0.11,0.14,0.15,0.16,0.15,0.19,0.19,0.2,0.13,0.13,0.12,0.14
K1,1802340,        Nitrospinota/Tectimicrobiota group,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,
P,1853220,            Rhodothermota,0.05,0.05,0.03,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1930617,        Calditrichota,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
K,1935183,      Promethearchaeati,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,1936987,            Balneolota,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
P,2138240,        Coprothermobacterota,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
P,2283796,        Thermoplasmatota,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,,,0.0
R2,2559587,    Riboviria,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
