taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_genuses.report,W133-25PVC-2-17_kraken2_bracken_genuses.report,W132-25PVC-1-17_kraken2_bracken_genuses.report,W131-25PET-3-17_kraken2_bracken_genuses.report,W130-25PET-2-17_kraken2_bracken_genuses.report,W129-25PET-1-17_kraken2_bracken_genuses.report,W128-25PE0.6-3-17_kraken2_bracken_genuses.report,W127-25PE0.6-2-17_kraken2_bracken_genuses.report,W126-25PE0.6-1-17_kraken2_bracken_genuses.report,W125-25S-3-17_kraken2_bracken_genuses.report,W124-25S-2-17_kraken2_bracken_genuses.report,W123-25S-1-17_kraken2_bracken_genuses.report,Q66-25S-3-0_kraken2_bracken_genuses.report,Q65-25S-2-0_kraken2_bracken_genuses.report,Q64-25S-1-0_kraken2_bracken_genuses.report,Q63-25PVC-3-11_kraken2_bracken_genuses.report,Q62-25PVC-2-11_kraken2_bracken_genuses.report,Q61-25PVC-1-11_kraken2_bracken_genuses.report,Q60-25PET-3-11_kraken2_bracken_genuses.report,Q59-25PET-2-11_kraken2_bracken_genuses.report,Q58-25PET-1-11_kraken2_bracken_genuses.report,Q57-25PE0.6-3-11_kraken2_bracken_genuses.report,Q56-25PE0.6-2-11_kraken2_bracken_genuses.report,Q55-25PE0.6-1-11_kraken2_bracken_genuses.report,Q54-25S-3-11_kraken2_bracken_genuses.report,Q53-25S-2-11_kraken2_bracken_genuses.report,Q52-25S-1-11_kraken2_bracken_genuses.report,Q51-25PVC-3-3_kraken2_bracken_genuses.report,Q50-25PVC-2-3_kraken2_bracken_genuses.report,Q49-25PVC-1-3_kraken2_bracken_genuses.report,Q48-25PET-3-3_kraken2_bracken_genuses.report,Q47-25PET-2-3_kraken2_bracken_genuses.report,Q46-25PET-1-3_kraken2_bracken_genuses.report,Q45-25PE0.6-3-3_kraken2_bracken_genuses.report,Q44-25PE0.6-2-3_kraken2_bracken_genuses.report,Q43-25PE0.6-1-3_kraken2_bracken_genuses.report,Q42-25S-3-3_kraken2_bracken_genuses.report,Q41-25S-2-3_kraken2_bracken_genuses.report,Q40-25S-1-3_kraken2_bracken_genuses.report,Q34-25PE0.1-2-11_kraken2_bracken_genuses.report,Q33-25PE0.1-1-11_kraken2_bracken_genuses.report,Q32-25PE0.1-2-3_kraken2_bracken_genuses.report,Q31-25PE0.1-1-3_kraken2_bracken_genuses.report
F,31,                Myxococcaceae,429.0,699.0,742.0,4230.0,1473.0,1729.0,2393.0,2195.0,1635.0,2597.0,1765.0,2054.0,4583.0,3520.0,3615.0,383.0,312.0,584.0,2377.0,1764.0,1919.0,2003.0,1710.0,1457.0,2357.0,2601.0,2151.0,670.0,689.0,1123.0,1498.0,1173.0,1670.0,1659.0,1819.0,1394.0,2274.0,2048.0,2399.0,1541.0,1607.0,1261.0,1988.0
G,32,                  Myxococcus,238.0,330.0,372.0,947.0,592.0,666.0,995.0,1073.0,625.0,1010.0,836.0,1090.0,1388.0,1484.0,1479.0,243.0,156.0,290.0,853.0,547.0,689.0,744.0,579.0,475.0,850.0,933.0,786.0,295.0,236.0,358.0,630.0,422.0,628.0,575.0,598.0,445.0,914.0,872.0,974.0,499.0,547.0,496.0,821.0
F,39,                Archangiaceae,287.0,498.0,397.0,569.0,1512.0,1481.0,1195.0,1075.0,629.0,892.0,889.0,1039.0,1976.0,1888.0,1681.0,203.0,142.0,128.0,469.0,330.0,251.0,529.0,695.0,231.0,454.0,513.0,434.0,455.0,536.0,955.0,806.0,848.0,746.0,759.0,659.0,869.0,995.0,769.0,998.0,351.0,1715.0,506.0,1162.0
G,40,                  Stigmatella,87.0,173.0,92.0,119.0,173.0,127.0,341.0,344.0,118.0,248.0,181.0,270.0,367.0,396.0,388.0,,,29.0,118.0,70.0,52.0,104.0,81.0,,31.0,174.0,75.0,151.0,148.0,389.0,160.0,85.0,198.0,164.0,137.0,174.0,270.0,252.0,229.0,46.0,70.0,99.0,247.0
G,42,                  Cystobacter,48.0,72.0,66.0,39.0,158.0,192.0,188.0,146.0,107.0,129.0,99.0,140.0,400.0,187.0,145.0,,,19.0,45.0,,25.0,37.0,91.0,42.0,68.0,86.0,19.0,61.0,27.0,90.0,80.0,26.0,57.0,156.0,60.0,114.0,122.0,64.0,108.0,52.0,144.0,66.0,132.0
G,44,                  Melittangium,16.0,28.0,16.0,71.0,89.0,72.0,100.0,122.0,94.0,69.0,36.0,73.0,176.0,236.0,197.0,63.0,20.0,,64.0,35.0,24.0,49.0,54.0,17.0,88.0,15.0,54.0,36.0,58.0,38.0,115.0,39.0,76.0,70.0,41.0,71.0,143.0,111.0,152.0,42.0,47.0,,148.0
G,47,                  Archangium,135.0,223.0,221.0,338.0,1090.0,1090.0,564.0,461.0,309.0,444.0,571.0,555.0,1032.0,1068.0,949.0,140.0,121.0,79.0,241.0,223.0,148.0,338.0,466.0,171.0,265.0,236.0,285.0,205.0,302.0,436.0,450.0,696.0,413.0,368.0,421.0,508.0,457.0,341.0,508.0,210.0,1452.0,340.0,634.0
F,49,              Polyangiaceae,313.0,508.0,505.0,825.0,841.0,952.0,1567.0,1190.0,803.0,1232.0,1292.0,1336.0,2505.0,2306.0,1976.0,254.0,182.0,244.0,826.0,535.0,665.0,767.0,658.0,578.0,846.0,1001.0,870.0,340.0,395.0,596.0,864.0,563.0,706.0,817.0,762.0,685.0,1277.0,1065.0,1163.0,480.0,696.0,557.0,1002.0
G,50,                Chondromyces,,4.0,10.0,34.0,24.0,36.0,32.0,20.0,16.0,23.0,15.0,23.0,76.0,31.0,55.0,4.0,,6.0,19.0,21.0,14.0,18.0,11.0,8.0,22.0,25.0,37.0,9.0,11.0,13.0,23.0,14.0,24.0,18.0,20.0,21.0,24.0,34.0,28.0,31.0,32.0,12.0,28.0
G,53,                Nannocystis,30.0,37.0,59.0,74.0,66.0,91.0,104.0,95.0,74.0,86.0,117.0,102.0,210.0,174.0,146.0,18.0,24.0,31.0,70.0,68.0,56.0,82.0,59.0,48.0,93.0,79.0,60.0,44.0,61.0,55.0,61.0,67.0,88.0,79.0,63.0,77.0,100.0,93.0,102.0,52.0,87.0,68.0,89.0
G,55,                Polyangium,23.0,38.0,95.0,82.0,97.0,106.0,172.0,104.0,55.0,119.0,89.0,143.0,290.0,323.0,310.0,20.0,35.0,28.0,81.0,80.0,62.0,120.0,94.0,73.0,133.0,103.0,83.0,42.0,67.0,66.0,110.0,71.0,99.0,136.0,49.0,86.0,112.0,102.0,149.0,71.0,70.0,59.0,113.0
G,59,                Vitreoscilla,67.0,68.0,57.0,187.0,198.0,247.0,362.0,371.0,290.0,243.0,183.0,315.0,255.0,151.0,313.0,,12.0,21.0,252.0,176.0,175.0,246.0,110.0,97.0,120.0,276.0,120.0,89.0,72.0,81.0,290.0,217.0,245.0,159.0,273.0,257.0,252.0,351.0,435.0,176.0,260.0,198.0,242.0
G,68,                Lysobacter,21883.0,28021.0,19381.0,15983.0,12188.0,11109.0,9463.0,7537.0,4177.0,4014.0,3203.0,3669.0,5106.0,3681.0,3268.0,76977.0,57156.0,59693.0,25949.0,22610.0,22055.0,16270.0,11516.0,9521.0,8135.0,6638.0,7326.0,152699.0,164574.0,120203.0,39900.0,40124.0,29715.0,26603.0,16038.0,15500.0,13352.0,10104.0,9532.0,16586.0,17642.0,37329.0,29041.0
G,75,                Caulobacter,627.0,713.0,909.0,356.0,489.0,412.0,922.0,748.0,903.0,533.0,467.0,711.0,661.0,517.0,525.0,1028.0,1053.0,1708.0,695.0,835.0,798.0,1512.0,1528.0,1526.0,835.0,1178.0,1552.0,1352.0,1770.0,2119.0,4317.0,3488.0,3326.0,2312.0,2437.0,2550.0,1555.0,1840.0,1645.0,1173.0,876.0,2694.0,1946.0
G,81,                Hyphomicrobium,998.0,1133.0,1423.0,1182.0,1097.0,1275.0,1733.0,1256.0,1234.0,1745.0,1352.0,1620.0,5385.0,4227.0,4096.0,1002.0,940.0,1150.0,1093.0,1022.0,908.0,1239.0,1084.0,887.0,1201.0,1272.0,1246.0,1425.0,1418.0,1649.0,1290.0,899.0,1235.0,1383.0,1276.0,1145.0,1387.0,1413.0,1444.0,1280.0,1339.0,1330.0,1528.0
G,85,                Hyphomonas,141.0,114.0,118.0,142.0,215.0,178.0,99.0,134.0,113.0,171.0,133.0,70.0,165.0,151.0,180.0,147.0,184.0,130.0,233.0,182.0,274.0,302.0,178.0,222.0,204.0,205.0,194.0,113.0,89.0,138.0,199.0,192.0,247.0,232.0,151.0,214.0,170.0,167.0,172.0,198.0,221.0,256.0,180.0
G,88,                Leptothrix,691.0,1408.0,1300.0,3663.0,3823.0,3620.0,7762.0,5659.0,4000.0,6165.0,6041.0,5405.0,10819.0,8332.0,8592.0,624.0,526.0,636.0,2895.0,2524.0,2141.0,3456.0,2737.0,2469.0,3598.0,4370.0,3301.0,959.0,1238.0,2126.0,5799.0,3635.0,5255.0,5708.0,5380.0,4541.0,6601.0,6320.0,6859.0,2296.0,3733.0,4028.0,5968.0
G,93,                Stella,44.0,109.0,129.0,93.0,81.0,97.0,149.0,92.0,76.0,112.0,126.0,121.0,284.0,199.0,193.0,32.0,21.0,40.0,60.0,55.0,43.0,66.0,52.0,46.0,55.0,70.0,42.0,54.0,78.0,58.0,65.0,40.0,62.0,65.0,57.0,63.0,96.0,71.0,120.0,52.0,65.0,61.0,118.0
G,96,                Gallionella,,13.0,8.0,,,,15.0,24.0,,13.0,,26.0,26.0,8.0,28.0,,,,8.0,25.0,,,9.0,7.0,,,,,10.0,,8.0,,,,21.0,8.0,26.0,18.0,,,,11.0,17.0
G,99,                Ancylobacter,186.0,5663.0,318.0,360.0,266.0,206.0,313.0,283.0,226.0,316.0,209.0,356.0,774.0,16066.0,310.0,138.0,149.0,117.0,161.0,179.0,170.0,298.0,164.0,140.0,183.0,239.0,205.0,154.0,160.0,2116.0,213.0,166.0,6192.0,164.0,236.0,175.0,85.0,237.0,208.0,218.0,257.0,200.0,250.0
G,105,                    Runella,197.0,204.0,266.0,138.0,212.0,237.0,107.0,95.0,128.0,147.0,94.0,71.0,58.0,64.0,67.0,239.0,217.0,295.0,192.0,242.0,287.0,213.0,160.0,193.0,139.0,164.0,161.0,92.0,170.0,242.0,239.0,337.0,304.0,206.0,221.0,182.0,169.0,142.0,158.0,184.0,180.0,277.0,158.0
G,107,                    Spirosoma,92.0,114.0,108.0,156.0,201.0,207.0,149.0,144.0,224.0,224.0,159.0,144.0,56.0,62.0,85.0,54.0,62.0,58.0,122.0,193.0,175.0,151.0,121.0,142.0,166.0,172.0,170.0,34.0,25.0,38.0,83.0,75.0,95.0,101.0,72.0,90.0,99.0,70.0,86.0,121.0,200.0,92.0,68.0
O,112,              Planctomycetales,2154.0,2026.0,1970.0,1617.0,1734.0,1339.0,1540.0,1681.0,1274.0,1567.0,1392.0,1366.0,2247.0,2128.0,1996.0,1170.0,1517.0,1310.0,1244.0,1351.0,1215.0,1730.0,1242.0,1257.0,1219.0,1783.0,1259.0,751.0,766.0,919.0,854.0,917.0,975.0,1145.0,942.0,954.0,932.0,1143.0,974.0,1519.0,1491.0,1001.0,1068.0
G,113,                  Gemmata,667.0,735.0,671.0,294.0,358.0,386.0,507.0,477.0,421.0,481.0,375.0,437.0,849.0,770.0,776.0,611.0,556.0,573.0,351.0,274.0,252.0,271.0,307.0,255.0,374.0,520.0,312.0,504.0,566.0,591.0,414.0,387.0,426.0,532.0,414.0,432.0,489.0,483.0,563.0,369.0,355.0,548.0,483.0
G,118,                  Planctomyces,443.0,334.0,299.0,266.0,467.0,160.0,191.0,457.0,244.0,498.0,390.0,281.0,873.0,775.0,858.0,218.0,229.0,200.0,268.0,183.0,190.0,421.0,355.0,275.0,257.0,346.0,237.0,197.0,120.0,275.0,231.0,226.0,313.0,323.0,326.0,230.0,229.0,336.0,242.0,224.0,429.0,219.0,313.0
G,123,                  Pirellula,2739.0,2764.0,2959.0,1550.0,1730.0,1825.0,1467.0,1760.0,1736.0,1914.0,1536.0,1583.0,678.0,597.0,626.0,1363.0,1550.0,1307.0,1166.0,1396.0,1305.0,1520.0,1436.0,1348.0,1583.0,1716.0,1865.0,327.0,371.0,417.0,417.0,514.0,522.0,612.0,559.0,514.0,563.0,557.0,492.0,1897.0,1699.0,671.0,547.0
F,126,                Planctomycetaceae,2154.0,2026.0,1970.0,1617.0,1734.0,1339.0,1540.0,1681.0,1274.0,1567.0,1392.0,1366.0,2247.0,2128.0,1996.0,1170.0,1517.0,1310.0,1244.0,1351.0,1215.0,1730.0,1242.0,1257.0,1219.0,1783.0,1259.0,751.0,766.0,919.0,854.0,917.0,975.0,1145.0,942.0,954.0,932.0,1143.0,974.0,1519.0,1491.0,1001.0,1068.0
G,127,                  Isosphaera,,8.0,7.0,9.0,8.0,5.0,11.0,8.0,16.0,10.0,11.0,13.0,14.0,10.0,13.0,14.0,7.0,8.0,,5.0,13.0,8.0,6.0,,,8.0,8.0,11.0,10.0,11.0,10.0,10.0,9.0,,,8.0,13.0,,8.0,,5.0,7.0,
G,133,                Methylocystis,137.0,184.0,202.0,254.0,187.0,262.0,414.0,308.0,233.0,380.0,608.0,511.0,2463.0,2106.0,2301.0,145.0,145.0,185.0,226.0,195.0,184.0,215.0,184.0,180.0,224.0,333.0,251.0,394.0,385.0,440.0,440.0,271.0,361.0,399.0,407.0,431.0,414.0,442.0,681.0,247.0,242.0,482.0,475.0
O,136,            Spirochaetales,2.0,,,16.0,3.0,4.0,18.0,27.0,,,18.0,3.0,44.0,24.0,46.0,7.0,,,14.0,5.0,2.0,,2.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,,15.0,16.0,20.0,5.0,15.0,31.0,4.0,9.0,5.0,2.0,19.0
F,137,              Spirochaetaceae,2.0,,,9.0,3.0,,2.0,17.0,,,18.0,,39.0,4.0,6.0,,,,,3.0,,,,,,,,3.0,,2.0,3.0,,,16.0,18.0,5.0,,2.0,4.0,2.0,3.0,2.0,3.0
G,146,                Spirochaeta,,,,,3.0,,,2.0,,,18.0,,6.0,4.0,6.0,,,,,3.0,,,,,,,,3.0,,2.0,3.0,,,3.0,,3.0,,2.0,4.0,2.0,3.0,2.0,3.0
G,157,                Treponema,,,,7.0,,4.0,,10.0,,,,3.0,2.0,20.0,36.0,7.0,,,,2.0,2.0,,,,,2.0,3.0,,3.0,,,,15.0,,2.0,,15.0,26.0,,,2.0,,16.0
F,170,              Leptospiraceae,172.0,399.0,164.0,373.0,334.0,382.0,1212.0,707.0,693.0,992.0,1142.0,451.0,1685.0,1545.0,1416.0,22.0,5.0,24.0,274.0,310.0,158.0,114.0,109.0,209.0,135.0,557.0,353.0,20.0,28.0,25.0,272.0,66.0,208.0,310.0,137.0,270.0,374.0,393.0,247.0,107.0,238.0,178.0,388.0
G,171,                Leptospira,172.0,399.0,164.0,373.0,334.0,382.0,1210.0,707.0,693.0,992.0,1142.0,451.0,1682.0,1543.0,1412.0,22.0,5.0,24.0,274.0,310.0,158.0,114.0,109.0,207.0,135.0,557.0,353.0,20.0,28.0,25.0,272.0,64.0,208.0,310.0,137.0,270.0,374.0,393.0,247.0,107.0,238.0,178.0,388.0
G,179,                Leptospirillum,,,,,,,,3.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
G,187,                Aquaspirillum,10.0,,9.0,,11.0,18.0,14.0,20.0,,19.0,21.0,,52.0,,37.0,,,,,,,,32.0,16.0,20.0,,,21.0,,8.0,,,,24.0,,,11.0,,,9.0,11.0,,21.0
G,191,                Azospirillum,204.0,348.0,317.0,181.0,213.0,325.0,356.0,254.0,216.0,267.0,244.0,286.0,640.0,383.0,359.0,119.0,137.0,125.0,194.0,122.0,140.0,243.0,154.0,115.0,160.0,238.0,180.0,219.0,215.0,266.0,269.0,170.0,285.0,248.0,205.0,227.0,252.0,337.0,324.0,162.0,199.0,185.0,310.0
G,194,                Campylobacter,7.0,3.0,,,62.0,33.0,,61.0,133.0,17.0,78.0,17.0,,,,9.0,2.0,4.0,,,59.0,33.0,29.0,25.0,51.0,34.0,,,2.0,6.0,5.0,18.0,2.0,,22.0,28.0,,,,5.0,,,
G,209,                Helicobacter,46.0,37.0,39.0,114.0,140.0,156.0,272.0,5.0,,,19.0,,9.0,2.0,,,,3.0,13.0,,,6.0,6.0,,,4.0,,,,,,4.0,5.0,12.0,,,,10.0,14.0,,3.0,5.0,9.0
G,222,                Achromobacter,642.0,1241.0,790.0,1818.0,1985.0,1619.0,3053.0,2608.0,1107.0,3836.0,2079.0,2865.0,5691.0,4976.0,3630.0,451.0,535.0,652.0,970.0,640.0,876.0,1512.0,779.0,1093.0,1247.0,1593.0,903.0,763.0,700.0,1113.0,1824.0,1922.0,2371.0,1492.0,2395.0,2304.0,2159.0,2643.0,2471.0,516.0,1600.0,1551.0,3426.0
G,226,                  Alteromonas,,29.0,5.0,72.0,342.0,69.0,103.0,175.0,60.0,288.0,,98.0,25.0,11.0,25.0,,17.0,,50.0,147.0,3.0,86.0,128.0,158.0,6.0,,,18.0,,7.0,,100.0,22.0,41.0,70.0,,27.0,81.0,,7.0,,,27.0
G,234,                  Brucella,1877.0,2611.0,1827.0,1382.0,737.0,1407.0,1955.0,1833.0,2183.0,3931.0,2174.0,2069.0,2137.0,1416.0,1208.0,1873.0,1303.0,2487.0,1589.0,815.0,1903.0,1423.0,1649.0,1608.0,1542.0,1444.0,1698.0,1537.0,1709.0,1943.0,1326.0,1630.0,1732.0,1375.0,952.0,959.0,1362.0,1684.0,1302.0,1766.0,1419.0,1921.0,1972.0
G,237,                    Flavobacterium,50335.0,61177.0,76097.0,62694.0,34697.0,36099.0,23495.0,16446.0,36170.0,10239.0,9041.0,8977.0,123827.0,98118.0,93103.0,79002.0,76203.0,102466.0,98070.0,57168.0,82896.0,28641.0,16799.0,37254.0,7808.0,9912.0,27131.0,1043760.0,1329436.0,1073195.0,459451.0,365826.0,234792.0,158063.0,131145.0,89283.0,62131.0,60948.0,54888.0,28684.0,30524.0,326728.0,237728.0
G,262,                Francisella,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
G,265,                Paracoccus,51657.0,50204.0,48533.0,36556.0,34293.0,39704.0,35818.0,32083.0,34110.0,39300.0,31759.0,33315.0,35819.0,27584.0,30358.0,46681.0,55232.0,53020.0,36893.0,37624.0,34074.0,44419.0,38776.0,34217.0,36602.0,34841.0,38488.0,38927.0,43314.0,41781.0,28526.0,32151.0,28875.0,32135.0,30204.0,28992.0,25321.0,25487.0,23591.0,54854.0,51868.0,47542.0,39385.0
G,270,                Thermus,4.0,7.0,5.0,4.0,7.0,17.0,18.0,6.0,4.0,10.0,6.0,15.0,8.0,32.0,19.0,5.0,,6.0,3.0,4.0,12.0,4.0,21.0,4.0,5.0,7.0,4.0,7.0,6.0,4.0,10.0,11.0,2.0,5.0,,5.0,5.0,3.0,7.0,3.0,10.0,3.0,8.0
G,279,                Xanthobacter,133.0,169.0,201.0,184.0,349.0,218.0,395.0,265.0,246.0,451.0,231.0,562.0,891.0,459.0,400.0,93.0,31.0,61.0,90.0,161.0,93.0,144.0,165.0,96.0,158.0,259.0,109.0,106.0,129.0,117.0,201.0,73.0,99.0,230.0,173.0,243.0,197.0,211.0,253.0,94.0,227.0,154.0,117.0
G,283,                Comamonas,43903.0,56212.0,46574.0,78054.0,66168.0,74623.0,101206.0,81305.0,65592.0,77806.0,51382.0,58662.0,104338.0,140561.0,108388.0,43639.0,38489.0,44040.0,87625.0,64234.0,85701.0,110099.0,68784.0,74373.0,65704.0,89726.0,70476.0,40566.0,34431.0,33308.0,74892.0,83490.0,79424.0,93631.0,102103.0,87373.0,80097.0,84796.0,89044.0,63297.0,84423.0,91647.0,81699.0
G,286,                Pseudomonas,35533.0,54365.0,41056.0,30618.0,55972.0,39830.0,69387.0,78267.0,36523.0,58609.0,66207.0,84121.0,109685.0,224204.0,99724.0,26489.0,22468.0,26177.0,25826.0,24540.0,28733.0,48258.0,46052.0,53411.0,19507.0,25360.0,33053.0,117640.0,124403.0,164587.0,42161.0,23551.0,31342.0,53430.0,52413.0,24855.0,54951.0,28374.0,63940.0,27123.0,32648.0,41411.0,77076.0
G,338,                Xanthomonas,7010.0,8776.0,7149.0,5292.0,6613.0,5212.0,8869.0,6552.0,5033.0,5846.0,6474.0,3220.0,9540.0,6779.0,9456.0,13024.0,12797.0,10999.0,6064.0,6298.0,5545.0,6302.0,5336.0,4700.0,2942.0,4753.0,3531.0,26258.0,25957.0,20196.0,12544.0,10144.0,9046.0,7974.0,7339.0,7072.0,5003.0,4603.0,7076.0,4131.0,5479.0,11757.0,7953.0
F1,351,                Azotobacter group,9.0,55.0,19.0,22.0,46.0,67.0,108.0,55.0,49.0,43.0,42.0,12.0,294.0,239.0,527.0,10.0,7.0,17.0,45.0,35.0,48.0,13.0,34.0,28.0,89.0,33.0,42.0,50.0,40.0,68.0,86.0,30.0,77.0,82.0,44.0,72.0,100.0,78.0,131.0,25.0,296.0,55.0,106.0
G,352,                  Azotobacter,9.0,44.0,13.0,7.0,17.0,53.0,68.0,55.0,49.0,43.0,20.0,12.0,207.0,167.0,447.0,10.0,7.0,17.0,22.0,24.0,39.0,13.0,34.0,28.0,89.0,18.0,26.0,42.0,32.0,60.0,86.0,22.0,65.0,74.0,34.0,72.0,76.0,63.0,111.0,18.0,276.0,40.0,85.0
O,356,            Hyphomicrobiales,536307.0,546460.0,526339.0,686436.0,547802.0,575216.0,563726.0,488484.0,420377.0,303291.0,297027.0,282987.0,234371.0,222975.0,210150.0,605380.0,553037.0,583463.0,720241.0,584427.0,675108.0,710819.0,589434.0,611107.0,506880.0,547573.0,524170.0,348520.0,381455.0,410022.0,638115.0,661116.0,653663.0,689629.0,670865.0,614372.0,639632.0,637592.0,613991.0,598856.0,650008.0,734687.0,722006.0
