taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
G,20,                Phenylobacterium,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
G,22,                Shewanella,,0.01,0.0,0.0,,,0.0,,0.0,0.01,,0.0,0.01,0.01,0.01,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,
O,29,            Myxococcales,0.14,0.25,0.22,0.56,0.71,0.7,1.02,0.72,0.39,0.75,0.95,0.94,1.31,1.2,1.29,0.05,0.03,0.05,0.25,0.22,0.1,0.22,0.18,0.1,0.29,0.34,0.25,0.13,0.13,0.22,0.36,0.15,0.28,0.32,0.35,0.34,0.55,0.52,0.59,0.19,0.33,0.13,0.51
F,31,                Myxococcaceae,0.01,0.01,0.01,0.07,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.1,0.09,0.09,0.0,0.0,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.03
G,32,                  Myxococcus,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
S,33,                    Myxococcus fulvus,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
S,34,                    Myxococcus xanthus,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,35,                    Corallococcus macrosporus,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,39,                Archangiaceae,0.0,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.05,0.05,0.04,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02
G,40,                  Stigmatella,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,41,                    Stigmatella aurantiaca,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,42,                  Cystobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,43,                    Cystobacter fuscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,44,                  Melittangium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
G,47,                  Archangium,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.01
S,48,                    Archangium gephyra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,49,              Polyangiaceae,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.06,0.06,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
G,50,                Chondromyces,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,52,                  Chondromyces crocatus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,53,                Nannocystis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,55,                Polyangium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,56,                  Sorangium cellulosum,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.05,0.05,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
G,59,                Vitreoscilla,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
S,61,                  Vitreoscilla stercoraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
S,63,                  Vitreoscilla filiformis,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
G,68,                Lysobacter,0.33,0.43,0.29,0.25,0.23,0.2,0.14,0.12,0.07,0.09,0.07,0.08,0.12,0.1,0.09,0.81,0.63,0.64,0.36,0.38,0.32,0.21,0.17,0.13,0.14,0.11,0.11,1.47,1.42,1.17,0.55,0.54,0.42,0.38,0.24,0.24,0.23,0.17,0.17,0.24,0.25,0.45,0.41
S,69,                  Lysobacter enzymogenes,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.09,0.07,0.04,0.06,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.25,0.21,0.18,0.06,0.06,0.04,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.06,0.06
G,75,                Caulobacter,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.06,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.03,0.03
S,78,                    Caulobacter sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,81,                Hyphomicrobium,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.03,0.04,0.12,0.12,0.11,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02
G,85,                Hyphomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,87,                    Hyphomonas sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,88,                Leptothrix,0.01,0.02,0.02,0.06,0.08,0.07,0.12,0.1,0.07,0.13,0.14,0.12,0.25,0.22,0.22,0.01,0.01,0.01,0.04,0.04,0.03,0.04,0.04,0.04,0.06,0.07,0.05,0.01,0.01,0.02,0.08,0.05,0.07,0.08,0.08,0.07,0.11,0.11,0.12,0.03,0.05,0.05,0.08
G,93,                Stella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,94,                  Stella humosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,96,                Gallionella,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0
G,99,                Ancylobacter,0.0,0.09,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.44,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,104,                      Cyclobacterium marinum,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
G,105,                    Runella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,106,                      Runella slithyformis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,107,                    Spirosoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,108,                      Spirosoma linguale,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,,,0.0
O,112,              Planctomycetales,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.06,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
G,113,                  Gemmata,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
S,114,                    Gemmata obscuriglobus,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,118,                  Planctomyces,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
S,119,                    Rubinisphaera brasiliensis,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,
S,120,                    Planctopirus limnophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,122,                    Gimesia maris,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,
G,123,                  Pirellula,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01
F,126,                Planctomycetaceae,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.06,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
G,127,                  Isosphaera,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,
S,128,                    Isosphaera pallida,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,
G,133,                Methylocystis,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01
S,134,                  Methylocystis parvus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,136,            Spirochaetales,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
F,137,              Spirochaetaceae,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,146,                Spirochaeta,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,
S,154,                  Spirochaeta thermophila,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,
G,157,                Treponema,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
S,158,                  Treponema denticola,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,170,              Leptospiraceae,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
G,171,                Leptospira,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
