taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_classes.report,W133-25PVC-2-17_kraken2_bracken_classes.report,W132-25PVC-1-17_kraken2_bracken_classes.report,W131-25PET-3-17_kraken2_bracken_classes.report,W130-25PET-2-17_kraken2_bracken_classes.report,W129-25PET-1-17_kraken2_bracken_classes.report,W128-25PE0.6-3-17_kraken2_bracken_classes.report,W127-25PE0.6-2-17_kraken2_bracken_classes.report,W126-25PE0.6-1-17_kraken2_bracken_classes.report,W125-25S-3-17_kraken2_bracken_classes.report,W124-25S-2-17_kraken2_bracken_classes.report,W123-25S-1-17_kraken2_bracken_classes.report,Q66-25S-3-0_kraken2_bracken_classes.report,Q65-25S-2-0_kraken2_bracken_classes.report,Q64-25S-1-0_kraken2_bracken_classes.report,Q63-25PVC-3-11_kraken2_bracken_classes.report,Q62-25PVC-2-11_kraken2_bracken_classes.report,Q61-25PVC-1-11_kraken2_bracken_classes.report,Q60-25PET-3-11_kraken2_bracken_classes.report,Q59-25PET-2-11_kraken2_bracken_classes.report,Q58-25PET-1-11_kraken2_bracken_classes.report,Q57-25PE0.6-3-11_kraken2_bracken_classes.report,Q56-25PE0.6-2-11_kraken2_bracken_classes.report,Q55-25PE0.6-1-11_kraken2_bracken_classes.report,Q54-25S-3-11_kraken2_bracken_classes.report,Q53-25S-2-11_kraken2_bracken_classes.report,Q52-25S-1-11_kraken2_bracken_classes.report,Q51-25PVC-3-3_kraken2_bracken_classes.report,Q50-25PVC-2-3_kraken2_bracken_classes.report,Q49-25PVC-1-3_kraken2_bracken_classes.report,Q48-25PET-3-3_kraken2_bracken_classes.report,Q47-25PET-2-3_kraken2_bracken_classes.report,Q46-25PET-1-3_kraken2_bracken_classes.report,Q45-25PE0.6-3-3_kraken2_bracken_classes.report,Q44-25PE0.6-2-3_kraken2_bracken_classes.report,Q43-25PE0.6-1-3_kraken2_bracken_classes.report,Q42-25S-3-3_kraken2_bracken_classes.report,Q41-25S-2-3_kraken2_bracken_classes.report,Q40-25S-1-3_kraken2_bracken_classes.report,Q34-25PE0.1-2-11_kraken2_bracken_classes.report,Q33-25PE0.1-1-11_kraken2_bracken_classes.report,Q32-25PE0.1-2-3_kraken2_bracken_classes.report,Q31-25PE0.1-1-3_kraken2_bracken_classes.report
P3,7776,                      Gnathostomata,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P6,8287,                            Sarcopterygii,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
R1,10239,  Viruses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,28211,          Alphaproteobacteria,64.26,58.42,58.39,60.09,58.62,59.26,52.95,59.84,67.09,55.54,52.82,52.05,12.83,13.39,13.07,53.03,57.62,55.58,66.69,65.88,69.76,69.8,71.57,73.06,68.92,68.08,70.91,27.07,27.6,28.52,54.06,64.35,61.27,60.1,60.36,62.2,57.9,57.67,56.28,71.68,68.6,63.86,55.33
C,28216,          Betaproteobacteria,7.28,10.45,10.01,17.96,21.22,20.93,27.41,23.22,18.23,26.05,27.85,27.8,52.58,49.55,53.72,3.93,3.91,4.65,13.45,13.53,11.91,14.93,13.45,12.86,17.06,17.69,14.99,4.45,4.93,7.13,20.55,14.4,19.04,19.82,20.93,19.72,24.06,24.42,25.75,12.96,15.17,14.97,22.03
C,28221,        Deltaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,28889,        Thermoproteota,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
P,28890,        Methanobacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,29547,        Campylobacterota,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,31969,          Mollicutes,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,
C,32015,          Myxococcia,0.14,0.26,0.23,0.58,0.74,0.72,1.06,0.75,0.41,0.79,1.0,0.98,1.41,1.3,1.38,0.06,0.04,0.06,0.27,0.24,0.12,0.24,0.2,0.12,0.32,0.37,0.28,0.14,0.14,0.23,0.38,0.16,0.3,0.34,0.36,0.36,0.58,0.55,0.63,0.2,0.35,0.15,0.53
C,32061,          Chloroflexia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,32066,        Fusobacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
P8,32523,                                Tetrapoda,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P9,32524,                                  Amniota,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
R3,33154,      Opisthokonta,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K,33208,        Metazoa,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K2,33213,            Bilateria,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
K3,33511,              Deuterostomia,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
R4,33634,        Stramenopiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,33849,              Bacillariophyceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,40117,        Nitrospirota,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,0.05,0.09,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.04
C,40674,                                    Mammalia,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P,57723,        Acidobacteriota,0.24,0.27,0.28,0.25,0.26,0.25,0.31,0.29,0.26,0.4,0.41,0.4,0.34,0.34,0.33,0.16,0.18,0.2,0.18,0.23,0.2,0.21,0.22,0.2,0.27,0.27,0.27,0.05,0.04,0.07,0.13,0.1,0.13,0.15,0.15,0.16,0.21,0.21,0.22,0.28,0.28,0.12,0.17
P,62680,          Fidelibacterota,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,
C,67799,          Thermodesulfobacteria,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,
P,67810,          Candidatus Bipolaricaulota,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,
P,67818,        Atribacterota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
P,67819,        Armatimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,68297,        Dictyoglomota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
K2,68336,          Bacteroidota/Chlorobiota group,1.67,1.91,2.21,2.52,2.79,2.66,1.43,1.57,2.28,2.49,2.14,2.19,3.15,2.95,2.74,1.39,1.84,1.72,2.58,2.98,3.33,1.51,1.52,1.88,1.52,1.54,1.82,10.55,12.3,10.91,7.07,5.84,4.24,3.02,2.89,2.3,1.96,1.98,1.86,1.49,1.38,4.75,3.98
C,68337,          Deferribacteres,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,
R3,68525,      delta/epsilon subdivisions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,74152,        Elusimicrobiota,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,
P,74201,          Verrucomicrobiota,0.03,0.04,0.05,0.05,0.07,0.06,0.07,0.04,0.04,0.05,0.07,0.07,0.14,0.14,0.14,0.02,0.02,0.03,0.05,0.05,0.04,0.03,0.03,0.03,0.05,0.06,0.03,0.03,0.03,0.04,0.09,0.09,0.1,0.08,0.09,0.08,0.08,0.08,0.09,0.03,0.04,0.07,0.07
C,84992,          Acidimicrobiia,0.11,0.12,0.14,0.26,0.22,0.22,0.26,0.26,0.28,0.37,0.34,0.33,0.7,0.7,0.68,0.08,0.07,0.09,0.22,0.22,0.19,0.21,0.22,0.2,0.29,0.28,0.26,0.1,0.09,0.12,0.19,0.15,0.2,0.2,0.21,0.23,0.27,0.26,0.27,0.22,0.22,0.19,0.21
C,84995,          Rubrobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,84998,          Coriobacteriia,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.01,0.04,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0
P1,89593,                  Craniata,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
C,91061,          Bacilli,0.87,0.82,0.82,0.16,0.16,0.15,0.36,0.27,0.29,0.7,0.53,0.63,2.29,1.95,2.06,1.3,1.0,0.74,0.18,0.18,0.15,0.16,0.19,0.14,0.26,0.39,0.23,3.08,2.75,1.54,0.29,0.12,0.2,0.18,0.18,0.29,0.25,0.26,0.27,0.23,0.25,0.18,0.21
P,95818,          Candidatus Saccharimonadota,,,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0
R5,95901,          Candidatus Babelota,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0
P4,117570,                        Teleostomi,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P5,117571,                          Euteleostomi,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
C,117743,              Flavobacteriia,1.21,1.44,1.66,1.42,1.37,1.28,0.68,0.73,1.37,1.19,1.04,1.07,2.86,2.66,2.48,1.17,1.54,1.47,1.67,1.39,1.65,0.66,0.45,0.93,0.53,0.58,0.94,10.43,12.16,10.78,6.5,5.08,3.43,2.37,2.12,1.57,1.23,1.26,1.12,0.71,0.72,4.19,3.55
C,117747,              Sphingobacteriia,0.05,0.06,0.06,0.08,0.1,0.13,0.08,0.16,0.12,0.32,0.27,0.24,0.02,0.03,0.02,0.04,0.06,0.03,0.04,0.11,0.13,0.08,0.37,0.08,0.08,0.12,0.12,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.07,0.06,0.02,0.02
C,118001,          Chrysiogenia,,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,
R1,131567,  cellular organisms,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
C,134549,            Spartobacteria,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.01,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
P,134625,          Kiritimatiellota,,0.01,,0.01,,0.01,0.02,0.02,,0.02,,,0.05,0.06,0.05,,,,0.0,,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.02,0.01,,0.01,0.01
P,142182,          Gemmatimonadota,0.03,0.05,0.05,0.08,0.11,0.11,0.16,0.14,0.09,0.15,0.17,0.17,0.15,0.15,0.16,0.01,0.01,0.01,0.04,0.04,0.03,0.05,0.05,0.04,0.05,0.06,0.04,0.01,0.01,0.02,0.05,0.03,0.05,0.05,0.06,0.05,0.07,0.07,0.08,0.04,0.05,0.03,0.06
C,183924,          Thermoprotei,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C,183925,            Methanobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
