taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
O,29,            Myxococcales,9073.0,16151.0,13968.0,34565.0,37723.0,38856.0,65679.0,41753.0,22099.0,36149.0,40661.0,40963.0,57898.0,45467.0,49786.0,5047.0,2992.0,4938.0,17956.0,13241.0,7069.0,17692.0,12185.0,7089.0,16672.0,21341.0,16052.0,13935.0,15580.0,22835.0,26046.0,10785.0,20312.0,23003.0,23151.0,20773.0,32377.0,30508.0,34078.0,12734.0,23139.0,10988.0,36367.0
F,31,                Myxococcaceae,396.0,658.0,679.0,4227.0,1417.0,1714.0,2370.0,2181.0,1637.0,2608.0,1729.0,2034.0,4567.0,3507.0,3599.0,374.0,293.0,576.0,2367.0,1759.0,1908.0,1994.0,1703.0,1451.0,2356.0,2585.0,2135.0,634.0,637.0,1115.0,1480.0,1164.0,1668.0,1639.0,1810.0,1382.0,2270.0,2046.0,2390.0,1542.0,1593.0,1248.0,1975.0
G,32,                  Myxococcus,214.0,316.0,338.0,935.0,539.0,633.0,1002.0,1075.0,630.0,1015.0,791.0,1066.0,1325.0,1457.0,1468.0,239.0,132.0,287.0,846.0,549.0,666.0,718.0,564.0,463.0,842.0,921.0,778.0,293.0,163.0,344.0,634.0,420.0,630.0,557.0,601.0,432.0,918.0,877.0,979.0,500.0,543.0,465.0,825.0
S,33,                    Myxococcus fulvus,150.0,265.0,209.0,502.0,283.0,362.0,380.0,420.0,378.0,488.0,360.0,437.0,640.0,652.0,643.0,189.0,132.0,221.0,435.0,300.0,337.0,412.0,226.0,183.0,358.0,521.0,339.0,95.0,81.0,159.0,331.0,281.0,352.0,324.0,251.0,228.0,345.0,254.0,528.0,284.0,334.0,202.0,351.0
S,34,                    Myxococcus xanthus,39.0,,80.0,162.0,90.0,73.0,165.0,112.0,64.0,119.0,147.0,200.0,191.0,200.0,223.0,29.0,,,131.0,176.0,171.0,153.0,189.0,113.0,110.0,136.0,74.0,88.0,,52.0,71.0,55.0,75.0,79.0,38.0,76.0,153.0,201.0,170.0,99.0,102.0,70.0,113.0
S,35,                    Corallococcus macrosporus,,,,94.0,,76.0,135.0,44.0,88.0,169.0,117.0,83.0,255.0,233.0,267.0,,,,102.0,,53.0,143.0,50.0,87.0,116.0,102.0,137.0,,68.0,148.0,,,78.0,201.0,211.0,110.0,137.0,78.0,181.0,117.0,110.0,37.0,132.0
F,39,                Archangiaceae,293.0,496.0,406.0,563.0,1525.0,1478.0,1199.0,1080.0,633.0,885.0,883.0,1046.0,1989.0,1902.0,1686.0,205.0,146.0,129.0,471.0,331.0,252.0,531.0,697.0,232.0,454.0,515.0,430.0,461.0,545.0,956.0,809.0,846.0,739.0,756.0,653.0,864.0,996.0,761.0,991.0,351.0,1720.0,509.0,1164.0
G,40,                  Stigmatella,89.0,177.0,95.0,120.0,175.0,127.0,342.0,346.0,119.0,249.0,183.0,272.0,369.0,399.0,392.0,,,29.0,118.0,71.0,53.0,104.0,81.0,,31.0,176.0,76.0,154.0,152.0,390.0,161.0,86.0,199.0,166.0,138.0,176.0,271.0,253.0,230.0,46.0,70.0,100.0,248.0
S,41,                    Stigmatella aurantiaca,89.0,177.0,95.0,120.0,175.0,127.0,342.0,346.0,119.0,249.0,183.0,272.0,369.0,399.0,392.0,,,29.0,118.0,71.0,53.0,104.0,81.0,,31.0,176.0,76.0,154.0,152.0,390.0,161.0,86.0,199.0,166.0,138.0,176.0,271.0,253.0,230.0,46.0,70.0,100.0,248.0
G,42,                  Cystobacter,48.0,74.0,68.0,40.0,159.0,193.0,189.0,147.0,107.0,131.0,101.0,141.0,402.0,188.0,147.0,,,19.0,45.0,,25.0,38.0,92.0,42.0,68.0,86.0,20.0,62.0,27.0,90.0,80.0,27.0,58.0,158.0,61.0,116.0,122.0,65.0,109.0,52.0,144.0,67.0,132.0
S,43,                    Cystobacter fuscus,48.0,74.0,68.0,40.0,159.0,193.0,189.0,147.0,107.0,131.0,101.0,141.0,402.0,188.0,147.0,,,19.0,45.0,,25.0,38.0,92.0,42.0,68.0,86.0,20.0,62.0,27.0,90.0,80.0,27.0,58.0,158.0,61.0,116.0,122.0,65.0,109.0,52.0,144.0,67.0,132.0
G,44,                  Melittangium,17.0,29.0,16.0,72.0,90.0,72.0,101.0,123.0,95.0,70.0,37.0,73.0,177.0,238.0,200.0,63.0,21.0,,65.0,36.0,24.0,49.0,55.0,17.0,88.0,15.0,55.0,37.0,58.0,39.0,116.0,39.0,77.0,71.0,41.0,72.0,144.0,112.0,153.0,42.0,47.0,,148.0
G,47,                  Archangium,137.0,214.0,226.0,329.0,1099.0,1083.0,565.0,463.0,311.0,434.0,560.0,559.0,1039.0,1076.0,945.0,142.0,125.0,79.0,241.0,224.0,148.0,339.0,468.0,171.0,265.0,237.0,278.0,207.0,307.0,436.0,452.0,693.0,404.0,359.0,412.0,500.0,458.0,330.0,498.0,210.0,1457.0,342.0,635.0
S,48,                    Archangium gephyra,47.0,78.0,51.0,103.0,99.0,222.0,150.0,162.0,65.0,109.0,138.0,138.0,242.0,421.0,299.0,59.0,29.0,27.0,32.0,32.0,20.0,68.0,75.0,31.0,89.0,36.0,28.0,39.0,49.0,126.0,95.0,237.0,37.0,146.0,95.0,207.0,98.0,92.0,116.0,33.0,341.0,106.0,192.0
F,49,              Polyangiaceae,314.0,508.0,505.0,828.0,843.0,955.0,1575.0,1200.0,812.0,1243.0,1299.0,1348.0,2534.0,2332.0,2008.0,254.0,182.0,244.0,826.0,536.0,666.0,768.0,659.0,579.0,848.0,1003.0,872.0,341.0,395.0,596.0,865.0,564.0,706.0,820.0,763.0,686.0,1281.0,1067.0,1165.0,480.0,697.0,558.0,1003.0
G,50,                Chondromyces,,4.0,10.0,34.0,24.0,36.0,32.0,20.0,16.0,23.0,15.0,24.0,77.0,31.0,55.0,4.0,,6.0,19.0,21.0,14.0,18.0,11.0,8.0,22.0,25.0,37.0,9.0,11.0,13.0,23.0,14.0,24.0,18.0,20.0,21.0,24.0,34.0,28.0,31.0,32.0,12.0,28.0
S,52,                  Chondromyces crocatus,,4.0,10.0,34.0,24.0,36.0,32.0,20.0,16.0,23.0,15.0,24.0,77.0,31.0,55.0,4.0,,6.0,19.0,21.0,14.0,18.0,11.0,8.0,22.0,25.0,37.0,9.0,11.0,13.0,23.0,14.0,24.0,18.0,20.0,21.0,24.0,34.0,28.0,31.0,32.0,12.0,28.0
G,53,                Nannocystis,30.0,37.0,59.0,74.0,67.0,92.0,104.0,96.0,75.0,86.0,117.0,103.0,213.0,175.0,149.0,16.0,24.0,31.0,70.0,68.0,56.0,82.0,59.0,49.0,93.0,79.0,60.0,44.0,61.0,55.0,62.0,67.0,88.0,79.0,63.0,77.0,100.0,93.0,102.0,52.0,87.0,68.0,89.0
G,55,                Polyangium,23.0,38.0,95.0,82.0,97.0,106.0,173.0,105.0,55.0,119.0,89.0,143.0,290.0,325.0,311.0,20.0,35.0,28.0,81.0,80.0,62.0,120.0,94.0,73.0,133.0,103.0,83.0,42.0,67.0,66.0,110.0,71.0,99.0,136.0,49.0,87.0,112.0,102.0,149.0,71.0,70.0,59.0,113.0
S,56,                  Sorangium cellulosum,290.0,466.0,398.0,710.0,720.0,812.0,1369.0,1069.0,740.0,1099.0,1187.0,1180.0,2158.0,1976.0,1641.0,229.0,147.0,209.0,725.0,435.0,588.0,628.0,553.0,498.0,675.0,867.0,731.0,289.0,317.0,516.0,730.0,478.0,583.0,654.0,693.0,577.0,1144.0,912.0,966.0,377.0,594.0,486.0,860.0
G,59,                Vitreoscilla,69.0,69.0,58.0,189.0,222.0,277.0,391.0,374.0,299.0,268.0,185.0,319.0,257.0,153.0,318.0,,13.0,22.0,255.0,180.0,199.0,248.0,112.0,109.0,122.0,305.0,121.0,90.0,79.0,70.0,292.0,220.0,247.0,173.0,298.0,263.0,273.0,356.0,437.0,178.0,262.0,203.0,243.0
S,61,                  Vitreoscilla stercoraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,33.0,,,,,,,,,,,,,,
S,63,                  Vitreoscilla filiformis,69.0,69.0,58.0,189.0,222.0,277.0,391.0,374.0,299.0,268.0,185.0,319.0,257.0,153.0,318.0,,13.0,22.0,255.0,180.0,199.0,248.0,112.0,109.0,122.0,305.0,121.0,68.0,39.0,70.0,292.0,220.0,247.0,173.0,298.0,263.0,273.0,356.0,437.0,178.0,262.0,203.0,243.0
G,68,                Lysobacter,21921.0,28060.0,18769.0,15359.0,12232.0,11161.0,8771.0,6866.0,4202.0,4112.0,3011.0,3474.0,5232.0,3877.0,3321.0,76996.0,57171.0,59704.0,25977.0,22664.0,22072.0,16293.0,10946.0,8852.0,8160.0,6647.0,6696.0,152717.0,164597.0,120222.0,39979.0,40213.0,29759.0,26916.0,16071.0,14863.0,13432.0,10098.0,9549.0,16616.0,17676.0,37372.0,29059.0
S,69,                  Lysobacter enzymogenes,2515.0,2878.0,2237.0,1881.0,1035.0,1101.0,991.0,944.0,473.0,433.0,506.0,471.0,644.0,223.0,549.0,8339.0,8002.0,6927.0,3069.0,3370.0,2295.0,1487.0,929.0,901.0,903.0,811.0,981.0,26433.0,23846.0,18365.0,3986.0,4435.0,3212.0,3241.0,1859.0,1674.0,1414.0,1442.0,1296.0,1627.0,1741.0,4825.0,4389.0
G,75,                Caulobacter,622.0,713.0,909.0,340.0,483.0,409.0,915.0,726.0,900.0,526.0,470.0,713.0,610.0,518.0,440.0,1028.0,1053.0,1708.0,686.0,831.0,789.0,1513.0,1529.0,1519.0,836.0,1178.0,1548.0,1352.0,1770.0,2119.0,4319.0,3489.0,3327.0,2314.0,2438.0,2552.0,1556.0,1841.0,1646.0,1156.0,877.0,2694.0,1940.0
S,78,                    Caulobacter sp.,29.0,44.0,38.0,19.0,60.0,49.0,65.0,80.0,45.0,41.0,21.0,,19.0,29.0,42.0,59.0,49.0,65.0,54.0,67.0,74.0,96.0,63.0,44.0,52.0,67.0,101.0,59.0,88.0,57.0,76.0,66.0,104.0,39.0,79.0,25.0,62.0,62.0,58.0,79.0,51.0,83.0,46.0
G,81,                Hyphomicrobium,995.0,1136.0,1424.0,1183.0,1100.0,1278.0,1737.0,1260.0,1242.0,1748.0,1358.0,1635.0,5439.0,4391.0,4201.0,1003.0,939.0,1151.0,1092.0,1024.0,908.0,1242.0,1083.0,888.0,1211.0,1273.0,1249.0,1427.0,1418.0,1649.0,1289.0,900.0,1234.0,1383.0,1277.0,1144.0,1390.0,1416.0,1446.0,1281.0,1346.0,1331.0,1540.0
G,85,                Hyphomonas,132.0,105.0,118.0,142.0,207.0,178.0,100.0,113.0,113.0,145.0,134.0,64.0,166.0,94.0,120.0,146.0,178.0,124.0,233.0,182.0,266.0,302.0,178.0,206.0,195.0,197.0,195.0,112.0,89.0,138.0,185.0,192.0,232.0,225.0,149.0,207.0,163.0,167.0,172.0,189.0,222.0,249.0,179.0
S,87,                    Hyphomonas sp.,81.0,66.0,53.0,17.0,77.0,110.0,58.0,49.0,38.0,110.0,95.0,44.0,67.0,75.0,73.0,87.0,71.0,63.0,73.0,77.0,85.0,130.0,75.0,118.0,99.0,73.0,85.0,45.0,54.0,56.0,91.0,64.0,134.0,70.0,46.0,77.0,62.0,98.0,69.0,82.0,120.0,97.0,80.0
G,88,                Leptothrix,694.0,1411.0,1304.0,3673.0,3967.0,3761.0,7969.0,5698.0,4043.0,6358.0,6059.0,5436.0,10862.0,8406.0,8657.0,625.0,527.0,636.0,2908.0,2537.0,2227.0,3466.0,2748.0,2564.0,3608.0,4505.0,3314.0,960.0,1239.0,2130.0,5804.0,3644.0,5274.0,5848.0,5509.0,4557.0,6766.0,6339.0,6875.0,2303.0,3741.0,4036.0,5980.0
G,93,                Stella,44.0,110.0,135.0,93.0,82.0,98.0,150.0,92.0,76.0,113.0,127.0,122.0,287.0,202.0,197.0,33.0,21.0,41.0,61.0,55.0,43.0,66.0,52.0,46.0,56.0,70.0,43.0,56.0,79.0,58.0,65.0,40.0,62.0,65.0,59.0,63.0,96.0,72.0,121.0,52.0,66.0,61.0,119.0
S,94,                  Stella humosa,44.0,110.0,135.0,93.0,82.0,98.0,150.0,92.0,76.0,113.0,127.0,122.0,287.0,202.0,197.0,33.0,21.0,41.0,61.0,55.0,43.0,66.0,52.0,46.0,56.0,70.0,43.0,56.0,79.0,58.0,65.0,40.0,62.0,65.0,59.0,63.0,96.0,72.0,121.0,52.0,66.0,61.0,119.0
G,96,                Gallionella,,14.0,8.0,,,,16.0,24.0,,13.0,,26.0,26.0,8.0,28.0,,,,8.0,25.0,,,9.0,7.0,,,,,10.0,,8.0,,,,22.0,8.0,27.0,18.0,,,,11.0,17.0
G,99,                Ancylobacter,179.0,5683.0,319.0,357.0,251.0,188.0,316.0,279.0,219.0,312.0,212.0,328.0,753.0,16562.0,229.0,133.0,146.0,117.0,151.0,177.0,170.0,288.0,153.0,133.0,182.0,241.0,195.0,142.0,151.0,2111.0,210.0,160.0,6204.0,164.0,213.0,161.0,42.0,222.0,203.0,213.0,258.0,191.0,246.0
S,104,                      Cyclobacterium marinum,,,,,,,,,,61.0,,,,,,65.0,,,,107.0,97.0,132.0,,,,,,,,,,,,,,,,,,,,,
G,105,                    Runella,199.0,206.0,269.0,142.0,216.0,241.0,111.0,96.0,129.0,148.0,95.0,69.0,59.0,65.0,68.0,241.0,219.0,299.0,197.0,247.0,290.0,217.0,162.0,199.0,142.0,168.0,165.0,91.0,170.0,243.0,240.0,339.0,308.0,208.0,222.0,186.0,173.0,144.0,160.0,186.0,184.0,279.0,159.0
S,106,                      Runella slithyformis,13.0,6.0,12.0,21.0,34.0,32.0,8.0,25.0,20.0,27.0,11.0,20.0,10.0,9.0,8.0,13.0,17.0,18.0,13.0,33.0,52.0,21.0,28.0,25.0,35.0,24.0,34.0,,5.0,9.0,21.0,29.0,41.0,34.0,15.0,18.0,22.0,23.0,22.0,22.0,18.0,21.0,16.0
G,107,                    Spirosoma,78.0,104.0,104.0,165.0,194.0,202.0,146.0,140.0,222.0,221.0,161.0,136.0,53.0,56.0,83.0,50.0,63.0,55.0,119.0,189.0,174.0,147.0,112.0,131.0,167.0,172.0,171.0,25.0,16.0,35.0,84.0,70.0,96.0,96.0,68.0,88.0,98.0,64.0,76.0,107.0,195.0,89.0,64.0
S,108,                      Spirosoma linguale,7.0,,,,,7.0,,4.0,6.0,,4.0,,,,3.0,,6.0,,,,,5.0,,,,,7.0,4.0,,,,,,,,12.0,,,9.0,4.0,,,4.0
O,112,              Planctomycetales,2156.0,1983.0,1968.0,1615.0,1742.0,1337.0,1492.0,1679.0,1278.0,1532.0,1390.0,1365.0,2246.0,2129.0,1993.0,1137.0,1517.0,1310.0,1206.0,1350.0,1212.0,1732.0,1242.0,1266.0,1184.0,1782.0,1259.0,748.0,763.0,885.0,852.0,916.0,979.0,1144.0,901.0,955.0,929.0,1112.0,933.0,1523.0,1457.0,999.0,1066.0
G,113,                  Gemmata,667.0,736.0,671.0,294.0,358.0,387.0,509.0,477.0,422.0,482.0,375.0,437.0,850.0,771.0,777.0,613.0,556.0,574.0,352.0,274.0,252.0,271.0,307.0,257.0,375.0,521.0,312.0,504.0,567.0,594.0,414.0,387.0,427.0,533.0,415.0,432.0,489.0,485.0,564.0,369.0,355.0,548.0,483.0
S,114,                    Gemmata obscuriglobus,313.0,361.0,310.0,159.0,170.0,118.0,217.0,203.0,231.0,212.0,133.0,182.0,369.0,295.0,313.0,269.0,245.0,264.0,159.0,125.0,119.0,120.0,112.0,131.0,186.0,266.0,118.0,180.0,269.0,250.0,146.0,149.0,186.0,304.0,162.0,228.0,231.0,229.0,250.0,154.0,139.0,205.0,192.0
G,118,                  Planctomyces,444.0,337.0,299.0,267.0,471.0,160.0,194.0,458.0,246.0,505.0,390.0,281.0,874.0,775.0,859.0,222.0,230.0,202.0,272.0,183.0,190.0,422.0,356.0,280.0,260.0,346.0,238.0,198.0,121.0,278.0,232.0,226.0,317.0,324.0,332.0,230.0,229.0,343.0,246.0,226.0,434.0,219.0,314.0
S,119,                    Rubinisphaera brasiliensis,119.0,117.0,64.0,,,,82.0,,,46.0,40.0,,69.0,99.0,,,,,,,,,,,,55.0,,,,,37.0,34.0,,,,45.0,,36.0,57.0,109.0,95.0,,
S,120,                    Planctopirus limnophila,175.0,121.0,161.0,90.0,85.0,128.0,93.0,99.0,92.0,89.0,71.0,93.0,54.0,37.0,71.0,75.0,61.0,84.0,70.0,92.0,104.0,96.0,75.0,78.0,67.0,107.0,68.0,33.0,48.0,37.0,44.0,50.0,40.0,53.0,32.0,38.0,32.0,57.0,51.0,90.0,100.0,51.0,60.0
S,122,                    Gimesia maris,,,4.0,,,,,,,,,,5.0,4.0,,,4.0,,4.0,,,6.0,,,4.0,,,,5.0,,,5.0,9.0,,,,,5.0,,10.0,6.0,,
G,123,                  Pirellula,2740.0,2764.0,2959.0,1550.0,1731.0,1825.0,1467.0,1761.0,1737.0,1915.0,1537.0,1583.0,679.0,598.0,626.0,1363.0,1550.0,1307.0,1166.0,1396.0,1305.0,1520.0,1436.0,1349.0,1583.0,1716.0,1865.0,327.0,372.0,417.0,417.0,514.0,522.0,612.0,559.0,514.0,563.0,557.0,492.0,1897.0,1699.0,671.0,547.0
F,126,                Planctomycetaceae,2156.0,1983.0,1968.0,1615.0,1742.0,1337.0,1492.0,1679.0,1278.0,1532.0,1390.0,1365.0,2246.0,2129.0,1993.0,1137.0,1517.0,1310.0,1206.0,1350.0,1212.0,1732.0,1242.0,1266.0,1184.0,1782.0,1259.0,748.0,763.0,885.0,852.0,916.0,979.0,1144.0,901.0,955.0,929.0,1112.0,933.0,1523.0,1457.0,999.0,1066.0
G,127,                  Isosphaera,,8.0,7.0,9.0,8.0,5.0,11.0,8.0,16.0,10.0,11.0,13.0,14.0,10.0,13.0,14.0,7.0,8.0,,5.0,13.0,8.0,6.0,,,8.0,8.0,11.0,10.0,11.0,10.0,10.0,10.0,,,8.0,13.0,,8.0,,5.0,7.0,
S,128,                    Isosphaera pallida,,8.0,7.0,9.0,8.0,5.0,11.0,8.0,16.0,10.0,11.0,13.0,14.0,10.0,13.0,14.0,7.0,8.0,,5.0,13.0,8.0,6.0,,,8.0,8.0,11.0,10.0,11.0,10.0,10.0,10.0,,,8.0,13.0,,8.0,,5.0,7.0,
G,133,                Methylocystis,138.0,179.0,196.0,257.0,185.0,260.0,413.0,311.0,231.0,381.0,618.0,518.0,2496.0,2225.0,2411.0,144.0,142.0,182.0,226.0,196.0,182.0,209.0,182.0,178.0,229.0,331.0,252.0,392.0,379.0,439.0,436.0,272.0,363.0,399.0,408.0,432.0,408.0,440.0,684.0,246.0,238.0,483.0,484.0
S,134,                  Methylocystis parvus,8.0,32.0,31.0,47.0,30.0,44.0,93.0,69.0,39.0,72.0,78.0,72.0,427.0,484.0,374.0,25.0,25.0,14.0,26.0,24.0,28.0,48.0,28.0,21.0,37.0,44.0,33.0,40.0,60.0,71.0,78.0,37.0,36.0,45.0,66.0,49.0,49.0,78.0,48.0,46.0,40.0,52.0,57.0
O,136,            Spirochaetales,2.0,,,10.0,2.0,,18.0,16.0,,,2.0,,37.0,24.0,43.0,6.0,,,14.0,3.0,,,,,,,,,,,3.0,,,16.0,18.0,2.0,,23.0,4.0,,2.0,2.0,6.0
F,137,              Spirochaetaceae,2.0,,,10.0,2.0,,2.0,16.0,,,2.0,,37.0,4.0,6.0,,,,,3.0,,,,,,,,,,,3.0,,,16.0,18.0,2.0,,2.0,4.0,,2.0,2.0,
G,146,                Spirochaeta,,,,,2.0,,,,,,2.0,,4.0,4.0,6.0,,,,,3.0,,,,,,,,,,,3.0,,,3.0,,,,2.0,4.0,,2.0,2.0,
