taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_genuses.report,W133-25PVC-2-17_kraken2_bracken_genuses.report,W132-25PVC-1-17_kraken2_bracken_genuses.report,W131-25PET-3-17_kraken2_bracken_genuses.report,W130-25PET-2-17_kraken2_bracken_genuses.report,W129-25PET-1-17_kraken2_bracken_genuses.report,W128-25PE0.6-3-17_kraken2_bracken_genuses.report,W127-25PE0.6-2-17_kraken2_bracken_genuses.report,W126-25PE0.6-1-17_kraken2_bracken_genuses.report,W125-25S-3-17_kraken2_bracken_genuses.report,W124-25S-2-17_kraken2_bracken_genuses.report,W123-25S-1-17_kraken2_bracken_genuses.report,Q66-25S-3-0_kraken2_bracken_genuses.report,Q65-25S-2-0_kraken2_bracken_genuses.report,Q64-25S-1-0_kraken2_bracken_genuses.report,Q63-25PVC-3-11_kraken2_bracken_genuses.report,Q62-25PVC-2-11_kraken2_bracken_genuses.report,Q61-25PVC-1-11_kraken2_bracken_genuses.report,Q60-25PET-3-11_kraken2_bracken_genuses.report,Q59-25PET-2-11_kraken2_bracken_genuses.report,Q58-25PET-1-11_kraken2_bracken_genuses.report,Q57-25PE0.6-3-11_kraken2_bracken_genuses.report,Q56-25PE0.6-2-11_kraken2_bracken_genuses.report,Q55-25PE0.6-1-11_kraken2_bracken_genuses.report,Q54-25S-3-11_kraken2_bracken_genuses.report,Q53-25S-2-11_kraken2_bracken_genuses.report,Q52-25S-1-11_kraken2_bracken_genuses.report,Q51-25PVC-3-3_kraken2_bracken_genuses.report,Q50-25PVC-2-3_kraken2_bracken_genuses.report,Q49-25PVC-1-3_kraken2_bracken_genuses.report,Q48-25PET-3-3_kraken2_bracken_genuses.report,Q47-25PET-2-3_kraken2_bracken_genuses.report,Q46-25PET-1-3_kraken2_bracken_genuses.report,Q45-25PE0.6-3-3_kraken2_bracken_genuses.report,Q44-25PE0.6-2-3_kraken2_bracken_genuses.report,Q43-25PE0.6-1-3_kraken2_bracken_genuses.report,Q42-25S-3-3_kraken2_bracken_genuses.report,Q41-25S-2-3_kraken2_bracken_genuses.report,Q40-25S-1-3_kraken2_bracken_genuses.report,Q34-25PE0.1-2-11_kraken2_bracken_genuses.report,Q33-25PE0.1-1-11_kraken2_bracken_genuses.report,Q32-25PE0.1-2-3_kraken2_bracken_genuses.report,Q31-25PE0.1-1-3_kraken2_bracken_genuses.report
G,32,                  Myxococcus,0.0,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
F,39,                Archangiaceae,0.0,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.05,0.04,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02
G,40,                  Stigmatella,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,42,                  Cystobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,44,                  Melittangium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
G,47,                  Archangium,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.01
F,49,              Polyangiaceae,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.06,0.06,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
G,50,                Chondromyces,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,53,                Nannocystis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,55,                Polyangium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,59,                Vitreoscilla,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
G,68,                Lysobacter,0.33,0.43,0.3,0.26,0.23,0.2,0.15,0.13,0.07,0.08,0.08,0.08,0.12,0.1,0.08,0.81,0.63,0.64,0.36,0.37,0.32,0.21,0.17,0.14,0.14,0.11,0.12,1.47,1.42,1.17,0.55,0.54,0.42,0.37,0.24,0.25,0.23,0.17,0.16,0.24,0.25,0.45,0.41
G,75,                Caulobacter,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.06,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.03,0.03
G,81,                Hyphomicrobium,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.03,0.04,0.12,0.11,0.11,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,85,                Hyphomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,88,                Leptothrix,0.01,0.02,0.02,0.06,0.07,0.06,0.12,0.1,0.07,0.13,0.14,0.12,0.25,0.22,0.22,0.01,0.01,0.01,0.04,0.04,0.03,0.04,0.04,0.04,0.06,0.07,0.05,0.01,0.01,0.02,0.08,0.05,0.07,0.08,0.08,0.07,0.11,0.11,0.12,0.03,0.05,0.05,0.08
G,93,                Stella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,96,                Gallionella,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0
G,99,                Ancylobacter,0.0,0.09,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,105,                    Runella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,107,                    Spirosoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,112,              Planctomycetales,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.06,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
G,113,                  Gemmata,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
G,118,                  Planctomyces,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
G,123,                  Pirellula,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01
F,126,                Planctomycetaceae,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.06,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
G,127,                  Isosphaera,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,
G,133,                Methylocystis,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01
O,136,            Spirochaetales,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,137,              Spirochaetaceae,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
G,146,                Spirochaeta,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
G,157,                Treponema,,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0
F,170,              Leptospiraceae,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
G,171,                Leptospira,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
G,179,                Leptospirillum,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
G,187,                Aquaspirillum,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,0.0
G,191,                Azospirillum,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
G,194,                Campylobacter,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,
G,209,                Helicobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
G,222,                Achromobacter,0.01,0.02,0.01,0.03,0.04,0.03,0.05,0.04,0.02,0.08,0.05,0.07,0.13,0.13,0.09,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.05,0.04,0.01,0.02,0.02,0.05
G,226,                  Alteromonas,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0
G,234,                  Brucella,0.03,0.04,0.03,0.02,0.01,0.03,0.03,0.03,0.04,0.08,0.05,0.05,0.05,0.04,0.03,0.02,0.01,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.03
G,237,                    Flavobacterium,0.76,0.93,1.2,1.01,0.66,0.65,0.37,0.28,0.65,0.21,0.21,0.21,2.8,2.6,2.42,0.83,0.84,1.09,1.36,0.95,1.19,0.36,0.25,0.54,0.14,0.16,0.43,10.04,11.47,10.44,6.36,4.93,3.29,2.21,1.96,1.45,1.05,1.04,0.95,0.42,0.44,3.96,3.32
G,262,                Francisella,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
G,265,                Paracoccus,0.78,0.76,0.76,0.59,0.65,0.71,0.56,0.55,0.61,0.82,0.74,0.77,0.81,0.73,0.79,0.49,0.61,0.57,0.51,0.62,0.49,0.56,0.59,0.5,0.64,0.56,0.61,0.37,0.37,0.41,0.4,0.43,0.4,0.45,0.45,0.47,0.43,0.44,0.41,0.8,0.74,0.58,0.55
G,270,                Thermus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,279,                Xanthobacter,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,283,                Comamonas,0.66,0.86,0.73,1.26,1.25,1.34,1.57,1.4,1.17,1.62,1.2,1.35,2.36,3.72,2.81,0.46,0.42,0.47,1.21,1.06,1.23,1.39,1.04,1.08,1.16,1.44,1.12,0.39,0.3,0.32,1.04,1.13,1.11,1.31,1.52,1.42,1.35,1.45,1.54,0.92,1.2,1.11,1.14
G,286,                Pseudomonas,0.53,0.83,0.64,0.49,1.06,0.71,1.08,1.35,0.65,1.22,1.55,1.93,2.48,5.93,2.59,0.28,0.25,0.28,0.36,0.41,0.41,0.61,0.7,0.77,0.34,0.41,0.52,1.13,1.07,1.6,0.58,0.32,0.44,0.75,0.78,0.4,0.93,0.49,1.11,0.4,0.47,0.5,1.08
G,338,                Xanthomonas,0.11,0.13,0.11,0.09,0.13,0.09,0.14,0.11,0.09,0.12,0.15,0.07,0.22,0.18,0.25,0.14,0.14,0.12,0.08,0.1,0.08,0.08,0.08,0.07,0.05,0.08,0.06,0.25,0.22,0.2,0.17,0.14,0.13,0.11,0.11,0.12,0.08,0.08,0.12,0.06,0.08,0.14,0.11
F1,351,                Azotobacter group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,352,                  Azotobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,356,            Hyphomicrobiales,8.06,8.33,8.27,11.09,10.36,10.32,8.76,8.42,7.5,6.32,6.96,6.5,5.31,5.9,5.45,6.36,6.1,6.23,9.98,9.68,9.71,8.99,8.94,8.85,8.93,8.8,8.32,3.35,3.29,3.99,8.84,8.91,9.15,9.64,10.01,10.0,10.79,10.91,10.63,8.73,9.27,8.9,10.09
G,357,                  Agrobacterium,0.03,0.06,0.05,0.03,0.05,0.04,0.04,0.04,0.01,0.07,0.05,0.06,0.2,0.2,0.16,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.17,0.15,0.15,0.04,0.02,0.04,0.02,0.02,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.09
G,374,                Bradyrhizobium,0.46,0.77,0.55,0.39,0.48,0.49,0.68,0.52,0.34,0.64,0.78,0.8,1.87,1.9,1.91,0.19,0.12,0.17,0.23,0.19,0.12,0.2,0.19,0.13,0.37,0.28,0.25,0.49,0.41,0.63,0.4,0.21,0.31,0.42,0.39,0.45,0.56,0.56,0.6,0.22,0.36,0.22,0.5
G,379,                  Rhizobium,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.09,0.09,0.09,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
F,403,              Methylococcaceae,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.03,0.05,0.04,0.24,0.24,0.26,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.02,0.01,0.02,0.04
G,404,                Methylobacillus,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
